epoch,accuracy,loss,val_accuracy,val_loss
0,0.37973982095718384,1.32485830783844,0.455331414937973,1.2664927244186401
1,0.6601162552833557,0.9818296432495117,0.6974063515663147,0.8944746851921082
2,0.7946305274963379,0.5800209045410156,0.7031700015068054,0.7682748436927795
3,0.8488790392875671,0.418239951133728,0.7031700015068054,0.8176575303077698
4,0.8812621235847473,0.3262181580066681,0.6570605039596558,0.8549310564994812
5,0.9061721563339233,0.2684728801250458,0.6772334575653076,0.9130929112434387
6,0.92637699842453,0.22202681005001068,0.6714697480201721,0.9945859909057617
7,0.9377248883247375,0.18412448465824127,0.6599423885345459,1.061805009841919
8,0.9518405795097351,0.16059699654579163,0.6657060384750366,1.0904908180236816
9,0.9587600231170654,0.13899584114551544,0.6541786789894104,1.1791096925735474
10,0.9606974720954895,0.12633274495601654,0.6541786789894104,1.2121912240982056
11,0.9659562706947327,0.1128745898604393,0.6628242135047913,1.2784857749938965
12,0.9678937196731567,0.10221780091524124,0.6455331444740295,1.350425362586975
13,0.9701079726219177,0.09430420398712158,0.6541786789894104,1.39850914478302
14,0.9717686176300049,0.09276147931814194,0.6599423885345459,1.4076316356658936
15,0.972875714302063,0.08148106932640076,0.6484149694442749,1.4490736722946167
16,0.9753667116165161,0.0742783322930336,0.6426513195037842,1.4931670427322388
17,0.976473867893219,0.07230588048696518,0.6426513195037842,1.5720728635787964
18,0.9778577089309692,0.07280150055885315,0.6657060384750366,1.514743447303772
19,0.9761970639228821,0.07272673398256302,0.6570605039596558,1.6382757425308228
20,0.976473867893219,0.069175124168396,0.651296854019165,1.6048853397369385
21,0.975643515586853,0.06580939143896103,0.6455331444740295,1.6653180122375488
22,0.9781345129013062,0.06510177254676819,0.6484149694442749,1.7207934856414795
23,0.9745364189147949,0.06747064739465714,0.651296854019165,1.7095422744750977
24,0.9773041605949402,0.06001590937376022,0.6570605039596558,1.7121819257736206
